,A,Ea,P [Pa],T [K],b,kb,kf
174,347850500.0,83680000.0,101325.0,1174.0,0.0,[0.],[65811.37672339]
175,347850500.0,83680000.0,101325.0,1175.0,0.0,[0.],[66293.28877094]
176,347850500.0,83680000.0,101325.0,1176.0,0.0,[0.],[66777.90108982]
177,347850500.0,83680000.0,101325.0,1177.0,0.0,[0.],[67265.22347661]
178,347850500.0,83680000.0,101325.0,1178.0,0.0,[0.],[67755.26573747]
179,347850500.0,83680000.0,101325.0,1179.0,0.0,[0.],[68248.03768803]
180,347850500.0,83680000.0,101325.0,1180.0,0.0,[0.],[68743.54915334]
181,347850500.0,83680000.0,101325.00000000001,1181.0,0.0,[0.],[69241.80996775]
182,347850500.0,83680000.0,101325.0,1182.0,0.0,[0.],[69742.82997487]
183,347850500.0,83680000.0,101325.0,1183.0,0.0,[0.],[70246.61902744]
184,347850500.0,83680000.0,101325.0,1184.0,0.0,[0.],[70753.18698733]
185,347850500.0,83680000.0,101325.0,1185.0,0.0,[0.],[71262.54372536]
186,347850500.0,83680000.0,101324.99999999999,1186.0,0.0,[0.],[71774.69912129]
187,347850500.0,83680000.0,101324.99999999999,1187.0,0.0,[0.],[72289.66306372]
188,347850500.0,83680000.0,101325.00000000001,1188.0,0.0,[0.],[72807.44545001]
189,347850500.0,83680000.0,101325.0,1189.0,0.0,[0.],[73328.05618617]
190,347850500.0,83680000.0,101325.00000000001,1190.0,0.0,[0.],[73851.50518685]
191,347850500.0,83680000.0,101325.0,1191.0,0.0,[0.],[74377.80237516]
192,347850500.0,83680000.0,101325.00000000001,1192.0,0.0,[0.],[74906.95768269]
193,347850500.0,83680000.0,101324.99999999999,1193.0,0.0,[0.],[75438.98104935]
194,347850500.0,83680000.0,101324.99999999999,1194.0,0.0,[0.],[75973.88242335]
195,347850500.0,83680000.0,101325.00000000001,1195.0,0.0,[0.],[76511.67176106]
196,347850500.0,83680000.0,101324.99999999999,1196.0,0.0,[0.],[77052.35902699]
197,347850500.0,83680000.0,101325.0,1197.0,0.0,[0.],[77595.95419365]
198,347850500.0,83680000.0,101324.99999999999,1198.0,0.0,[0.],[78142.46724152]
199,347850500.0,83680000.0,101325.00000000001,1199.0,0.0,[0.],[78691.90815894]
200,347850500.0,83680000.0,101325.0,1200.0,0.0,[0.],[79244.28694202]
201,347850500.0,83680000.0,101325.0,1201.0,0.0,[0.],[79799.61359461]
202,347850500.0,83680000.0,101324.99999999999,1202.0,0.0,[0.],[80357.89812816]
203,347850500.0,83680000.0,101325.00000000001,1203.0,0.0,[0.],[80919.15056166]
204,347850500.0,83680000.0,101325.00000000001,1204.0,0.0,[0.],[81483.38092156]
205,347850500.0,83680000.0,101324.99999999999,1205.0,0.0,[0.],[82050.59924172]
206,347850500.0,83680000.0,101325.00000000001,1206.0,0.0,[0.],[82620.81556327]
207,347850500.0,83680000.0,101325.0,1207.0,0.0,[0.],[83194.03993457]
208,347850500.0,83680000.0,101325.0,1208.0,0.0,[0.],[83770.28241112]
209,347850500.0,83680000.0,101324.99999999999,1209.0,0.0,[0.],[84349.55305548]
210,347850500.0,83680000.0,101325.0,1210.0,0.0,[0.],[84931.86193718]
211,347850500.0,83680000.0,101325.0,1211.0,0.0,[0.],[85517.21913264]
212,347850500.0,83680000.0,101325.0,1212.0,0.0,[0.],[86105.63472512]
213,347850500.0,83680000.0,101325.00000000001,1213.0,0.0,[0.],[86697.11880459]
214,347850500.0,83680000.0,101324.99999999999,1214.0,0.0,[0.],[87291.68146768]
215,347850500.0,83680000.0,101325.0,1215.0,0.0,[0.],[87889.33281759]
216,347850500.0,83680000.0,101325.0,1216.0,0.0,[0.],[88490.08296404]
217,347850500.0,83680000.0,101325.0,1217.0,0.0,[0.],[89093.94202311]
218,347850500.0,83680000.0,101325.00000000001,1218.0,0.0,[0.],[89700.92011725]
219,347850500.0,83680000.0,101324.99999999999,1219.0,0.0,[0.],[90311.02737515]
220,347850500.0,83680000.0,101325.00000000001,1220.0,0.0,[0.],[90924.27393167]
221,347850500.0,83680000.0,101325.0,1221.0,0.0,[0.],[91540.66992775]
222,347850500.0,83680000.0,101325.00000000001,1222.0,0.0,[0.],[92160.22551034]
223,347850500.0,83680000.0,101325.0,1223.0,0.0,[0.],[92782.95083233]
224,347850500.0,83680000.0,101325.0,1224.0,0.0,[0.],[93408.85605245]
225,347850500.0,83680000.0,101325.00000000001,1225.0,0.0,[0.],[94037.95133518]
226,347850500.0,83680000.0,101325.0,1226.0,0.0,[0.],[94670.24685072]
227,347850500.0,83680000.0,101325.0,1227.0,0.0,[0.],[95305.75277485]
228,347850500.0,83680000.0,101325.0,1228.0,0.0,[0.],[95944.47928889]
229,347850500.0,83680000.0,101325.00000000003,1229.0,0.0,[0.],[96586.43657958]
230,347850500.0,83680000.0,101325.0,1230.0,0.0,[0.],[97231.63483905]
231,347850500.0,83680000.0,101325.0,1231.0,0.0,[0.],[97880.08426471]
232,347850500.0,83680000.0,101324.99999999999,1232.0,0.0,[0.],[98531.79505918]
233,347850500.0,83680000.0,101324.99999999999,1233.0,0.0,[0.],[99186.77743018]
234,347850500.0,83680000.0,101325.00000000001,1234.0,0.0,[0.],[99845.0415905]
235,347850500.0,83680000.0,101325.0,1235.0,0.0,[0.],[100506.59775788]
236,347850500.0,83680000.0,101325.00000000001,1236.0,0.0,[0.],[101171.45615495]
237,347850500.0,83680000.0,101325.0,1237.0,0.0,[0.],[101839.62700915]
238,347850500.0,83680000.0,101325.0,1238.0,0.0,[0.],[102511.12055263]
239,347850500.0,83680000.0,101325.00000000001,1239.0,0.0,[0.],[103185.94702219]
240,347850500.0,83680000.0,101325.0,1240.0,0.0,[0.],[103864.11665921]
241,347850500.0,83680000.0,101324.99999999999,1241.0,0.0,[0.],[104545.63970954]
242,347850500.0,83680000.0,101324.99999999999,1242.0,0.0,[0.],[105230.52642344]
243,347850500.0,83680000.0,101325.0,1243.0,0.0,[0.],[105918.78705549]
244,347850500.0,83680000.0,101325.00000000001,1244.0,0.0,[0.],[106610.43186453]
245,347850500.0,83680000.0,101324.99999999999,1245.0,0.0,[0.],[107305.47111355]
246,347850500.0,83680000.0,101325.00000000001,1246.0,0.0,[0.],[108003.91506965]
247,347850500.0,83680000.0,101325.0,1247.0,0.0,[0.],[108705.77400392]
248,347850500.0,83680000.0,101325.00000000001,1248.0,0.0,[0.],[109411.0581914]
249,347850500.0,83680000.0,101324.99999999999,1249.0,0.0,[0.],[110119.77791095]
