,A,Ea,P [Pa],T [K],b,kb,kf
307,347850500.0,83680000.0,101324.99999999999,707.0,0.0,[0.],[228.59113665]
308,347850500.0,83680000.0,101325.0,708.0,0.0,[0.],[233.23380434]
309,347850500.0,83680000.0,101325.0,709.0,0.0,[0.],[237.95726747]
310,347850500.0,83680000.0,101325.00000000001,710.0,0.0,[0.],[242.76267927]
311,347850500.0,83680000.0,101325.0,711.0,0.0,[0.],[247.6512054]
312,347850500.0,83680000.0,101324.99999999999,712.0,0.0,[0.],[252.62402402]
313,347850500.0,83680000.0,101325.00000000001,713.0,0.0,[0.],[257.68232588]
314,347850500.0,83680000.0,101325.0,714.0,0.0,[0.],[262.82731438]
315,347850500.0,83680000.0,101325.0,715.0,0.0,[0.],[268.0602057]
316,347850500.0,83680000.0,101324.99999999999,716.0,0.0,[0.],[273.38222881]
317,347850500.0,83680000.0,101324.99999999999,717.0,0.0,[0.],[278.79462562]
318,347850500.0,83680000.0,101325.00000000001,718.0,0.0,[0.],[284.298651]
319,347850500.0,83680000.0,101325.0,719.0,0.0,[0.],[289.89557291]
320,347850500.0,83680000.0,101325.0,720.0,0.0,[0.],[295.58667246]
321,347850500.0,83680000.0,101325.0,721.0,0.0,[0.],[301.37324397]
322,347850500.0,83680000.0,101325.0,722.0,0.0,[0.],[307.2565951]
323,347850500.0,83680000.0,101325.00000000001,723.0,0.0,[0.],[313.23804687]
324,347850500.0,83680000.0,101324.99999999999,724.0,0.0,[0.],[319.31893381]
325,347850500.0,83680000.0,101325.0,725.0,0.0,[0.],[325.50060396]
326,347850500.0,83680000.0,101325.00000000001,726.0,0.0,[0.],[331.78441903]
327,347850500.0,83680000.0,101325.0,727.0,0.0,[0.],[338.17175441]
328,347850500.0,83680000.0,101324.99999999999,728.0,0.0,[0.],[344.66399931]
329,347850500.0,83680000.0,101325.0,729.0,0.0,[0.],[351.26255679]
330,347850500.0,83680000.0,101325.0,730.0,0.0,[0.],[357.96884388]
331,347850500.0,83680000.0,101325.0,731.0,0.0,[0.],[364.78429161]
332,347850500.0,83680000.0,101324.99999999999,732.0,0.0,[0.],[371.71034517]
